File,Mouse ID,HR (BPM),HRV (BPM),RR (s),# of Signals,% Removed
BL_1.txt,1,584.995937528276,193.76582431643448,0.10256481481480352,191,22.534615384615385
End_1.txt,1,532.1212793085374,166.5689925893806,0.11275624999993747,201,10.299999999999997
ITI_1.txt,1,632.7284406619854,177.50634117477705,0.09482741116746016,247,11.646153846153851
BL_2.txt,2,568.0879456059598,186.80280408150614,0.10561744966441784,195,18.75192307692307
End_2.txt,2,577.3985166284401,191.40669531711154,0.10391436464082641,222,11.993074259330516
ITI_2.txt,2,715.035843112583,132.55406661775774,0.0839118773945895,296,9.12115384615385
BL_3.txt,3,621.8537163163254,193.9014973115549,0.09648571428570367,172,24.9
End_3.txt,3,597.2327175134247,202.36331270342484,0.10046335078528464,247,9.229201123120124
Air_stim_1.txt,stim_1,615.4480554625559,199.45900776356717,0.09748994974873297,231,14.313461538461535
Sound_stim_1.txt,stim_1,593.0887999347115,198.86391537354066,0.10116528925618716,176,25.723076923076928
Combo_stim_1.txt,stim_1,607.0440011454331,196.94109163315562,0.09883962264149852,197,14.886538461538457
Air_stim_2.txt,stim_2,605.8072606836897,195.32602897071428,0.09904140127387448,196,27.93390655356147
Combo_stim_2.txt,stim_2,623.9380140015693,181.23478414358016,0.09616339869275715,203,22.06346153846154
Sound_stim_2.txt,stim_2,635.1829378502597,195.0025196660216,0.0944609756097457,229,14.352216985668942
Combo_stim_3.txt,stim_3,568.7438180020405,191.6157759604599,0.1054956521739015,162,26.18122354751827
Air_stim_3.txt,stim_3,578.9405517420664,186.66249111643785,0.10363758389260598,193,24.426923076923078
Sound_stim_3.txt,stim_3,652.730780177802,186.60954793752413,0.09192151162789684,200,25.54435638993614
